"['watsons', 'bad', 'bitch', 'central']"
"['rt', 'fate', 'sealed', 'depending', 'whether', 'ai', 'good', 'bad', 'rather', 'choice']"
"['im', 'crying', 'bad']"
"['another', 'thing', 'trust', 'tend', 'pass', 'players', 'trus']"
"['doctor', 'want', 'hear', 'good', 'news', 'bad', 'news', 'patient', 'good', 'news', 'please', 'doctor', 'naming', 'disease']"
"['rt', 'abel', 'amp', 'bad', 'bunny']"
"['acknowledge', 'might', 'horrific', 'think', 'also', 'thinking', 'still', 'pretty', 'bad']"
"['idk', 'bout', 'yall', 'got', 'really', 'bad', 'feeling', 'abt', 'final', 'line']"
"['rt', 'think', 'election', 'bad', 'wait']"
"['hard', 'build', 'brand', 'africa', 'good', 'times', 'uganda', 'bad', 'times']"
"['rt', 'town', 'people', 'bad', 'schools', 'almost', 'public', 'services', 'beyond', 'part', 'time', 'library', 'wants', 'spend', 'million']"
"['seoul', 'con', 'ended', 'hope', 'guys', 'enjoyed', 'sorry', 'giving', 'clips', 'bc', 'audio', 'bad', 'laggy', 'tried']"
"['bad', 'news', 'none', 'ever', 'visit', 'prison', 'thought', 'entertain', 'unfortunately']"
"['rt', 'eip', 'support', 'continues', 'roll', 'mobile', 'live', 'ios', 'amp', 'android', 'users', 'firefox', 'live', 'chrome', 'r']"
"['good', 'morning', 'remembers', 'fukuzawa', 'dies', 'ranpo', 'loses', 'someone', 'important', 'nvm', 'bad', 'bad', 'morning']"
"['rt', 'want', 'bad']"
"['hawks', 'would', 'bad', 'thing', 'lil', 'nugget']"
"['rt', 'local', 'leaders', 'crime', 'rose', 'bad', 'walmart', 'shut', 'doors']"
"['glory', 'k', 'man', 'woods', 'million', 'bad', 'flop', 'album', 'worry', 'fave', 'lol']"
"['rt', 'everyone', 'please', 'go', 'leave', 'positive', 'nice', 'review', 'indigo', 'cuz', 'solos', 'leaving', 'bad', 'reviews', 'album']"
"['news', 'media', 'constantly', 'saying', 'bad', 'people', 'wh']"
['bad']
"['bad', 'idea', 'start', 'watching', 'drama', 'woke', 'continued', 'watching']"
[]
